"word","count","relevance"
"speech music classification","4","1"
"speech music overlap","3","0.7983193277310924"
"audio feature","3","0.6659663865546218"
"spectral peak","3","0.6659663865546218"
"time frequency","2","0.5084033613445378"
"foreground background audio separation","1","0.44537815126050423"
"mean hilbert envelope coefficient","1","0.44537815126050423"
"indian news debate","1","0.39495798319327735"
"gmm","3","0.36344537815126055"
"magnitude feature","1","0.3508403361344538"
"shouted speech","1","0.3508403361344538"
"multi task","1","0.3508403361344538"
"noise robustness","1","0.3508403361344538"
"ao language","1","0.3508403361344538"
"low resource","1","0.3508403361344538"
"speech detection","1","0.3508403361344538"
"cnn","2","0.3067226890756303"
"lstm","1","0.25"
"dnn","1","0.25"
"identification","1","0.25"
"attention","1","0.25"
"hmm","1","0.25"
"phase","1","0.25"
"svm","1","0.25"
"pyknogram","1","0.25"
"movie-musnomix","1","0.25"
